"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 23 23:25:33 UTC 2024","Tue Jul 23 23:27:39 UTC 2024","126407","Record and Play Hubtel","","","","","Article Component Validation",""
"passed","Wed Jul 24 02:51:58 UTC 2024","Wed Jul 24 02:52:06 UTC 2024","8093","Record and Play Hubtel","","","","","Navigation Links Test",""
"broken","Tue Jul 23 23:24:15 UTC 2024","Tue Jul 23 23:27:39 UTC 2024","204515","Record and Play Hubtel","","","","","Navigation Links Test",""
"passed","Tue Jul 23 23:25:24 UTC 2024","Tue Jul 23 23:27:39 UTC 2024","135513","Record and Play Hubtel","","","","","Main Article Check",""
"passed","Tue Jul 23 23:38:38 UTC 2024","Tue Jul 23 23:40:14 UTC 2024","95574","Record and Play Hubtel","","","","","Footer-Download-link-tests",""
"passed","Wed Jul 24 02:51:37 UTC 2024","Wed Jul 24 02:52:06 UTC 2024","28362","Record and Play Hubtel","","","","","Footer-Download-link-tests",""
"passed","Tue Jul 23 23:39:40 UTC 2024","Tue Jul 23 23:40:14 UTC 2024","34280","Record and Play Hubtel","","","","","Navigation Links Test",""
"passed","Tue Jul 23 23:39:21 UTC 2024","Tue Jul 23 23:40:14 UTC 2024","52927","Record and Play Hubtel","","","","","Main Article Check",""
"passed","Tue Jul 23 23:21:03 UTC 2024","Tue Jul 23 23:21:08 UTC 2024","4688","template spec","","","","","passes",""
"passed","Tue Jul 23 23:26:35 UTC 2024","Tue Jul 23 23:27:39 UTC 2024","64180","Record and Play Hubtel","","","","","Navigation Links Test",""
"passed","Wed Jul 24 02:51:52 UTC 2024","Wed Jul 24 02:52:06 UTC 2024","13368","Record and Play Hubtel","","","","","Main Article Check",""
"passed","Wed Jul 24 02:50:57 UTC 2024","Wed Jul 24 02:52:06 UTC 2024","68968","Hubtel test-1","","","","","Article Component Validation",""
"passed","Tue Jul 23 23:27:15 UTC 2024","Tue Jul 23 23:27:39 UTC 2024","23989","Record and Play Hubtel","","","","","Footer-Download-link-tests",""
"passed","Tue Jul 23 23:25:44 UTC 2024","Tue Jul 23 23:27:39 UTC 2024","115369","Record and Play Hubtel","","","","","Footer-Download-link-tests",""
"passed","Tue Jul 23 23:27:03 UTC 2024","Tue Jul 23 23:27:39 UTC 2024","36231","Record and Play Hubtel","","","","","Main Article Check",""
"passed","Tue Jul 23 23:38:06 UTC 2024","Tue Jul 23 23:40:14 UTC 2024","127374","Record and Play Hubtel","","","","","Article Component Validation",""
"passed","Tue Jul 23 23:27:05 UTC 2024","Tue Jul 23 23:27:39 UTC 2024","34378","Record and Play Hubtel","","","","","Article Component Validation",""
